ld,Record No,Koala Name,Date,Year,Call Date Time,LAT,LNG,Adult Fate Other,Adult Size,Adult Gender,Adult Situation,Young Present,Adult Fate,Young Fate Other,Koala Found Address,Koala Post Code,LGA,Sick,Injured,Caused By Dog,Orphaned,Under Threat,Dead,Conjunctivitis,Cystitis,Wasted,Vehicle Hit,Road Speed Limit,Fall,Injury Other,Field Comments
6421,A 74557,AXLE,Apr-22,2022,2022-04-25T00:00:00,-27.5001832,153.2360664,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,Janelle Court,4160,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6422,A 74558,PERIWINKLE,Apr-22,2022,2022-04-25T00:00:00,-27.4355716,153.5303883,AWH,Young (up to 2kg),,On ground,FALSE,Hospital,,Deadmans Track,4183,Redland City ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6430,A 71347,HARPER,Apr-22,2022,2022-04-29T00:00:00,-27.5613426,153.2312417,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,9 Parkwood Drive,4157,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE,,
6384,A 74692,BUTTONS,Apr-22,2022,2022-04-02T00:00:00,-27.3055256,152.9422214,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,3 Yellow Button Close,4500,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6386,A 71010,NOVA,Apr-22,2022,2022-04-03T00:00:00,-27.1756019,152.9264989,AWH,Sub-Adult (2-4kg),,In tree,FALSE,Hospital,,13 Wedgetail Close,4504,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6404,A 74697,MILLIE,Apr-22,2022,2022-04-17T00:00:00,-27.2921484,152.9223616,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,41 Dana Street,4500,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6405,A 74698,TUKU,Apr-22,2022,2022-04-18T00:00:00,-27.2757218,152.9369496,AWH,Adult (More than 4kg),,On ground,FALSE,Hospital,,Forgan Road,4500,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6406,A 74699,MESSINA,Apr-22,2022,2022-04-18T00:00:00,-27.1902797,152.9301654,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,13 Butleigh Court,4504,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
6410,A 74552,ELLIOT,Apr-22,2022,2022-04-19T00:00:00,-27.3727217,152.979338,AWH,Adult (More than 4kg),,On ground,FALSE,Hospital,,Old Northern Road,4035,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6417,A 74553,ALKIRA,Apr-22,2022,2022-04-21T00:00:00,-27.3058355,152.9451792,AWH,Adult (More than 4kg),,On ground,FALSE,Hospital,,902 Kremzow Road,4500,Moreton Bay Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6419,A 74555,YEBRI,Apr-22,2022,2022-04-23T00:00:00,-27.2607415,152.9797508,AWH,Adult (More than 4kg),,On ground,FALSE,Hospital,,Yebri Street,4503,Moreton Bay Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,,
6420,A 74556,AMELIA,Apr-22,2022,2022-04-24T00:00:00,-27.2264508,153.0687062,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,Hays Inlet,4021,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6408,A 76568,JACKIE,Apr-22,2022,2022-04-18T00:00:00,-27.71674,153.14394,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,14 Kennilworth Crescent,4133,Logan City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
6409,,DOA,Apr-22,2022,2022-04-19T00:00:00,-27.84059,153.16341,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,489 Plunkett Road,4270,Logan City ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
